role,fit,natural_percentage,adapted_percentage,compressed,over_time
{'S': 'Analista de Recursos Humanos'},{'N': '77'},"{'S': '[{""F"": 45, ""L"": 74, ""O"": 88, ""W"": 48}]'}","{'S': '[{""F"": 37, ""L"": 86, ""O"": 41, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor de Recursos Humanos'},{'N': '51'},"{'S': '[{""F"": 88, ""L"": 22, ""O"": 44, ""W"": 64}]'}","{'S': '[{""F"": 88, ""L"": 29, ""O"": 30, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Diretor Executivo'},{'N': '49'},"{'S': '[{""F"": 32, ""L"": 87, ""O"": 67, ""W"": 64}]'}","{'S': '[{""F"": 32, ""L"": 81, ""O"": 53, ""W"": 29}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'CEO Chief Executive Officer'},{'N': '64'},"{'S': '[{""F"": 88, ""L"": 45, ""O"": 52, ""W"": 48}]'}","{'S': '[{""F"": 69, ""L"": 75, ""O"": 20, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Auxiliar Administrativo'},{'N': '70'},"{'S': '[{""F"": 54, ""L"": 22, ""O"": 58, ""W"": 79}]'}","{'S': '[{""F"": 47, ""L"": 50, ""O"": 46, ""W"": 73}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Recursos Humanos'},{'N': '0'},"{'S': '[{""F"": 54, ""L"": 51, ""O"": 44, ""W"": 64}]'}","{'S': '[{""F"": 69, ""L"": 39, ""O"": 53, ""W"": 53}]'}",{'BOOL': True},{'BOOL': False}
{'S': 'CEO Chief Executive Officer'},{'N': '35'},"{'S': '[{""F"": 20, ""L"": 87, ""O"": 88, ""W"": 88}]'}","{'S': '[{""F"": 25, ""L"": 86, ""O"": 53, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Advogado Especialista em Meio Ambiente'},{'N': '66'},"{'S': '[{""F"": 43, ""L"": 45, ""O"": 92, ""W"": 88}]'}","{'S': '[{""F"": 62, ""L"": 81, ""O"": 27, ""W"": 65}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Administracao de Pessoal'},{'N': '40'},"{'S': '[{""F"": 28, ""L"": 19, ""O"": 92, ""W"": 95}]'}","{'S': '[{""F"": 25, ""L"": 29, ""O"": 59, ""W"": 90}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Recursos Humanos'},{'N': '0'},"{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}","{'S': '[{""F"": 50, ""L"": 50, ""O"": 50, ""W"": 50}]'}",{'BOOL': False},{'BOOL': True}
{'S': 'SDR Sales Development Representative'},{'N': '0'},"{'S': '[{""F"": 60, ""L"": 59, ""O"": 44, ""W"": 48}]'}","{'S': '[{""F"": 69, ""L"": 86, ""O"": 27, ""W"": 43}]'}",{'BOOL': True},{'BOOL': False}
{'S': 'Gerente de Contrato'},{'N': '49'},"{'S': '[{""F"": 28, ""L"": 74, ""O"": 95, ""W"": 53}]'}","{'S': '[{""F"": 8, ""L"": 39, ""O"": 75, ""W"": 79}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente Executivo de RH'},{'N': '84'},"{'S': '[{""F"": 95, ""L"": 87, ""O"": 36, ""W"": 48}]'}","{'S': '[{""F"": 83, ""L"": 50, ""O"": 20, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Coordenador de Controle Financeiro'},{'N': '72'},"{'S': '[{""F"": 28, ""L"": 51, ""O"": 88, ""W"": 92}]'}","{'S': '[{""F"": 32, ""L"": 75, ""O"": 59, ""W"": 90}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Analista de CRM'},{'N': '77'},"{'S': '[{""F"": 43, ""L"": 28, ""O"": 80, ""W"": 79}]'}","{'S': '[{""F"": 37, ""L"": 29, ""O"": 65, ""W"": 79}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Supervisor de Tecnologia da Informacao'},{'N': '49'},"{'S': '[{""F"": 35, ""L"": 87, ""O"": 52, ""W"": 64}]'}","{'S': '[{""F"": 40, ""L"": 67, ""O"": 53, ""W"": 43}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Administrador'},{'N': '45'},"{'S': '[{""F"": 60, ""L"": 87, ""O"": 52, ""W"": 28}]'}","{'S': '[{""F"": 47, ""L"": 91, ""O"": 27, ""W"": 23}]'}",{'BOOL': False},{'BOOL': False}
{'S': 'Gerente de Area'},{'N': '45'},"{'S': '[{""F"": 50, ""L"": 51, ""O"": 67, ""W"": 59}]'}","{'S': '[{""F"": 83, ""L"": 39, ""O"": 30, ""W"": 53}]'}",{'BOOL': False},{'BOOL': False}
